			Project	Task	Description	Billable	Start date	Start time	End date	End time	Duration	Tags	Amount ()
			learn web dev		#690 4.3 Technical Blog ~ 1 hr	No	31-10-17	12:29:32	31-10-17	12:54:32	0:25:00	Sprint-4	
			learn web dev		#691 4.2 Free Code Camp Basic JavaScript ~ 7 hours	No	25-10-17	17:46:33	25-10-17	18:11:33	0:25:00	"Assignment, Sprint-4"	
			learn web dev		#691 4.2 Free Code Camp Basic JavaScript ~ 7 hours	No	24-10-17	4:37:42	24-10-17	4:49:37	0:11:55	"Assignment, Sprint-4"	
			learn web dev		#691 4.2 Free Code Camp Basic JavaScript ~ 7 hours	No	24-10-17	4:49:47	24-10-17	5:43:47	0:54:00	"Assignment, Sprint-4"	
			learn web dev		#691 4.2 Free Code Camp Basic JavaScript ~ 7 hours	No	24-10-17	19:57:22	24-10-17	20:22:22	0:25:00	"Assignment, Sprint-4"	
			learn web dev		#691 4.2 Free Code Camp Basic JavaScript ~ 7 hours	No	24-10-17	20:31:25	24-10-17	23:39:48	3:08:23	"Assignment, Sprint-4"	
			learn web dev		#691 4.2 Free Code Camp Basic JavaScript ~ 7 hours	No	26-10-17	19:26:11	26-10-17	19:51:11	0:25:00	"Assignment, Sprint-4"	
			learn web dev		#691 4.2 Free Code Camp Basic JavaScript ~ 7 hours	No	26-10-17	22:26:56	26-10-17	22:51:56	0:25:00	"Assignment, Sprint-4"	
			learn web dev		#691 4.2 Free Code Camp Basic JavaScript ~ 7 hours	No	27-10-17	2:18:50	27-10-17	2:43:50	0:25:00	"Assignment, Sprint-4"	
			learn web dev		#691 4.2 Free Code Camp Basic JavaScript ~ 7 hours	No	27-10-17	4:26:58	27-10-17	4:51:58	0:25:00	"Assignment, Sprint-4"	
			learn web dev		#691 4.2 Free Code Camp Basic JavaScript ~ 7 hours	No	27-10-17	5:10:45	27-10-17	5:15:59	0:05:14	"Assignment, Sprint-4"	
			learn web dev		#691 4.2 Free Code Camp Basic JavaScript ~ 7 hours	No	27-10-17	5:17:35	27-10-17	5:22:46	0:05:11	"Assignment, Sprint-4"	
			learn web dev		#691 4.2 Free Code Camp Basic JavaScript ~ 7 hours	No	27-10-17	10:10:34	27-10-17	10:35:34	0:25:00	"Assignment, Sprint-4"	
			learn web dev		#691 4.2 Free Code Camp Basic JavaScript ~ 7 hours	No	27-10-17	16:09:25	27-10-17	16:49:26	0:40:01	"JavaScript, Sprint-4"	
			learn web dev		#691 4.2 Free Code Camp Basic JavaScript ~ 7 hours	No	25-10-17	17:08:30	25-10-17	17:46:30	0:38:00	"Assignment, Sprint-4"	
			learn web dev		#692 4.1 JavaScript Basics Codecademy ~ 10 hrs	No	21-10-17	23:07:37	21-10-17	23:08:57	0:01:20	Sprint-4	
			learn web dev		#692 4.1 JavaScript Basics Codecademy ~ 10 hrs	No	21-10-17	23:14:02	21-10-17	23:39:02	0:25:00	Sprint-4	
			learn web dev		#692 4.1 JavaScript Basics Codecademy ~ 10 hrs	No	21-10-17	23:59:48	22-10-17	0:24:48	0:25:00	Sprint-4	
			learn web dev		#692 4.1 JavaScript Basics Codecademy ~ 10 hrs	No	22-10-17	0:31:12	22-10-17	0:56:12	0:25:00	Sprint-4	
			learn web dev		#692 4.1 JavaScript Basics Codecademy ~ 10 hrs	No	22-10-17	19:13:01	22-10-17	19:38:01	0:25:00	Sprint-4	
			learn web dev		#692 4.1 JavaScript Basics Codecademy ~ 10 hrs	No	22-10-17	6:56:54	22-10-17	7:21:54	0:25:00	Sprint-4	
			learn web dev		#692 4.1 JavaScript Basics Codecademy ~ 10 hrs	No	22-10-17	7:25:44	22-10-17	7:50:44	0:25:00	Sprint-4	
			learn web dev		#692 4.1 JavaScript Basics Codecademy ~ 10 hrs	No	22-10-17	10:00:57	22-10-17	10:25:57	0:25:00	Sprint-4	
			learn web dev		#692 4.1 JavaScript Basics Codecademy ~ 10 hrs	No	22-10-17	11:12:36	22-10-17	11:37:36	0:25:00	Sprint-4	
			learn web dev		#692 4.1 JavaScript Basics Codecademy ~ 10 hrs	No	22-10-17	11:37:42	22-10-17	11:59:21	0:21:39	Sprint-4	
			learn web dev		#692 4.1 JavaScript Basics Codecademy ~ 10 hrs	No	22-10-17	5:29:55	22-10-17	5:54:55	0:25:00	Sprint-4	
			learn web dev		#692 4.1 JavaScript Basics Codecademy ~ 10 hrs	No	22-10-17	4:16:38	22-10-17	4:41:38	0:25:00	Sprint-4	
